Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Côte d'Ivoire,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",444.4413469403695,252.5708373821973,652.2077571600963
Cameroon,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",459.5690788087344,224.95891653118264,725.9841887250044
Democratic Republic of the Congo,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",763.2017308539848,449.3017958020394,1164.9501380414295
Congo,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1337.0945005330798,801.943688623645,2054.0852337267665
Cook Islands,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",2667.8665166963156,1862.778568948313,3768.953311544011
Colombia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",328.51417215168607,225.27396716820826,454.45868898540203
Comoros,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",930.9907112664648,541.2777804215488,1488.7573807324995
Cabo Verde,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",680.6561686733584,500.7473349424213,909.3040008806473
Costa Rica,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",464.8153453393201,320.35379406785904,652.0690796097323
Cuba,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1036.2884953415796,752.009108404929,1383.556670622796
Cyprus,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",511.41744357937546,375.48744385658625,666.7832346407
Czechia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",552.5410344698082,362.8759942285729,779.5333795184258
Germany,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",758.2188702599065,591.1521331155847,924.2708627185759
Djibouti,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",713.3685988506483,449.10090181416314,1056.6333025869799
Dominica,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",2121.448603143324,1448.490051244267,2963.8050970708123
Denmark,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",108.8928737207522,87.47538518184965,133.40487292441713
Dominican Republic,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",639.1075756522056,423.0748438434829,923.9853883684569
Algeria,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1252.6461755140538,768.0160591330191,1851.2172126476357
Ecuador,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",396.98751461203386,276.8268231306796,556.8275976512582
Eritrea,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",611.637257221618,367.02135239432675,942.7219660093106
Spain,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",393.9902302958897,292.7417863925162,498.19310807125333
Estonia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",3241.213970538067,2118.8885794946127,4704.13034221105
Ethiopia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",282.2411558005844,188.68467419449044,420.34500710525424
Finland,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",822.9603497805552,617.320920332795,1010.6882341730673
Fiji,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",760.3963211789237,502.91142648088703,1086.1555789550694
France,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",330.8149715964906,253.64447635734143,414.02774137582804
Micronesia (Federated States of),2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",942.3308101995967,551.2338007853185,1452.4787688400975
Gabon,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1046.7616538478349,644.5764469443219,1600.5402981959335
United Kingdom,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",170.65819417299667,138.69292233943926,205.60389421077838
Georgia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1726.177420968547,1084.7810915609134,2590.460887615604
Ghana,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",631.9943936226189,360.94822619763005,932.6210348115457
Guinea,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",340.84552719754345,194.91988367005618,512.2640346691732
Gambia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",551.5232758624761,319.14991343143953,799.8033277193055
Guinea-Bissau,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",581.9566298202792,280.62977337703586,915.5441834393088
Equatorial Guinea,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",710.8956333043297,420.7659427390622,1157.133315852396
Greece,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",707.5670837311807,544.8746538574983,887.7685409883373
Grenada,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1352.191297301481,949.1670416201999,1916.0087005786143
Greenland,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",253.7728008722378,180.4841075101033,356.7250185645101
Guatemala,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",97.7596978308989,66.84414224213205,132.92850980729781
Guam,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",580.1268942179456,395.4803341148773,880.1327732914499
Guyana,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1927.2264454398219,1327.854100409492,2728.548687584274
Honduras,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",577.8871208322035,381.0946032565521,852.3963361397069
Croatia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",879.3150533013273,591.7739139795721,1272.5897118636626
Haiti,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",695.1915009025707,307.77753440479796,1188.1843295730225
Hungary,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1536.2898866116277,1071.1063851183367,2169.9433980463987
Indonesia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1027.025052369192,592.3442176752023,1504.198218646605
India,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",445.28171550002526,274.1067511985798,678.6393261461467
Ireland,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",107.4698167087575,84.26717751067153,135.4639181680522
Iran (Islamic Republic of),2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1185.0173006105665,822.8578905471607,1702.4948321801794
Iraq,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",617.5016018247421,416.0461178141305,891.4150562448767
Iceland,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",145.86849281828972,109.46213251179556,186.24560818605696
Israel,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",77.0164483812667,58.81025478768139,97.83564260440494
Italy,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1273.6024938685252,959.2517706197435,1606.0642745972436
Jamaica,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1627.5264117151507,1129.9255116252423,2347.505622346445
Jordan,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",809.0905536439369,545.8229587731223,1174.5545455997374
Japan,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",239.1582255530393,170.31189095458168,315.2855344126989
Kazakhstan,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",240.34967920850949,145.70055019201493,365.7903589685263
Kenya,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",568.2885425445709,359.4329083606526,795.5137158842163
Kyrgyzstan,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",513.5257241921576,321.3465739991495,789.4846813887498
Cambodia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",749.5476675355828,415.58056419778444,1164.7281593884816
Kiribati,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",360.00562761326495,216.73213226805396,534.1263946921015
Saint Kitts and Nevis,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1409.0841153303293,988.341490887854,1957.6863062721188
Republic of Korea,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",480.9130580300777,338.9087711030209,687.3740443516006
Kuwait,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",868.051295612329,604.6164262097543,1257.1763007552286
Lao People's Democratic Republic,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",784.7079501277282,431.9292209595027,1209.8277384001638
Lebanon,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",454.6162810308279,298.7008608639265,662.3856073349217
Liberia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",665.455385905851,363.53386112134,1058.3723659615418
Libya,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1840.447754221559,1005.5731396826521,3084.769341352803
Saint Lucia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1469.551536343815,982.1326284143571,2112.9945941487817
Sri Lanka,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",761.8094572982292,451.3132124243819,1270.132753172251
Lesotho,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1283.8091050815642,639.5631124552589,1930.116437489764
Lithuania,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",857.222375175737,571.4953969376154,1249.164673073828
Luxembourg,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",219.57543030698955,174.98360813238517,266.3802727329096
Latvia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1303.0585470825035,848.6366912573196,1934.8958297847548
Morocco,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1388.3499126346271,785.6972182176654,2230.414692437782
Monaco,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",583.7349777497901,387.58407590494414,802.2980364233986
Republic of Moldova,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",2249.2142639816343,1326.907077270575,3706.8834942476383
Madagascar,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",937.8494332320396,585.3609228797471,1385.2225460405562
Maldives,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",263.4211659741922,170.8357553927407,398.9458667591016
Mexico,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",289.27606627935927,204.18744783024366,388.6613949393513
Marshall Islands,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",814.5738971700033,434.6933177582668,1327.8940594828896
North Macedonia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1883.6132244855607,1165.3136495565436,2838.5102480858795
Mali,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",228.5244726603017,115.02056776654668,365.4397634207376
Malta,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",303.8623924219908,216.46666436321988,402.6457269130288
Myanmar,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",845.7040320248664,404.54559132442307,1381.8506526617462
Montenegro,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",520.1476192360802,320.7432380058857,818.235056213378
Mongolia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",181.42344474068548,99.37676997950152,310.1706685468069
Northern Mariana Islands,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",305.51661238127696,205.2721003413395,424.728189596869
Mozambique,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",571.3413406506004,325.2453027688087,861.8186147478461
Mauritania,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",529.8336721769581,323.8402291905096,795.9803591038794
Mauritius,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1217.6316394883388,895.9791578821647,1677.4458149228778
Malawi,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",427.0200839193318,234.73106058325803,668.789254192713
Malaysia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",192.86127417952426,131.92797609428985,281.0923808819436
Namibia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1123.6555253233582,767.0467560895278,1671.710010831056
Niger,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",159.6271955329495,65.57917166668008,259.2932650486768
Nigeria,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",304.1955428757777,181.5945637696559,439.9719917690353
Nicaragua,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",362.6807344964541,234.01722843991814,506.62414590650803
Niue,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",843.1940434646297,518.9645499575033,1239.653164806506
Netherlands,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",162.70046489159137,127.28319962345637,198.33666012254
Norway,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",105.73048238451783,85.28354641985268,124.99225685012075
Nepal,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",529.0831262284067,333.3613980345351,791.6913310778029
Nauru,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",650.1200264519586,309.35167945747486,1087.5180787943623
New Zealand,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",97.24004868486534,75.00785649514565,123.16263384966994
Oman,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1425.5096334119226,920.3734286148954,2169.051381467073
Pakistan,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",413.8911784577831,247.80538080710727,625.87582180957
Panama,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",289.476098375335,196.68498696968672,395.6024245964144
Peru,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",187.7361633050385,121.8132003787036,264.6763501775255
Philippines,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1070.6548211095808,760.0562076579392,1446.5152186471278
Palau,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",390.0160047313114,270.76248494042096,576.2260944224021
Papua New Guinea,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",287.5877953829483,140.95173151241218,539.6279646300954
Poland,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",885.5267235609106,619.1469075569643,1206.0139549289052
Puerto Rico,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",960.6006197380947,695.3252192694737,1273.6940545861767
Democratic People's Republic of Korea,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1128.3308380601122,742.0165279452635,1717.73875568396
Portugal,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",376.71886010955683,287.58916104915465,468.1323991198923
Paraguay,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",646.3744886260678,431.71686733681804,935.2632403276147
Palestine,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",622.3524535540785,420.0377961500823,909.582347798817
Qatar,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",371.4912025261748,248.13170583375407,556.9827418440755
Romania,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",2119.942771665876,1484.0933241856633,3080.0037284279897
Russian Federation,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",354.1418935869542,237.1640004111052,497.75682792112946
Rwanda,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",410.0396966736214,127.46156224372773,636.1780291947799
Saudi Arabia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",2206.5231023141896,1157.005788347296,3590.9157396850806
Senegal,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",437.72842991020804,283.5248983887896,620.7899231896101
Singapore,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",432.13019473205964,325.01635741819086,559.017463344819
Solomon Islands,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",362.01664159341465,193.96129400608626,603.1854966689612
Sierra Leone,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",385.16128739095666,198.59968527871064,582.7417749424924
El Salvador,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",210.97133926731166,140.2802937389247,309.9170269333932
San Marino,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",623.3867056240949,400.23534055045866,891.3042920306103
Somalia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",339.43898131126804,161.52059413578834,595.4111788975699
Serbia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1338.3263784548249,852.1715212874757,1951.5245280271615
South Sudan,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",261.46728366074854,116.99223340343013,470.9216890791951
Sao Tome and Principe,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",425.6880462158709,292.4517302406971,591.3889242932466
Suriname,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",843.4506948799299,518.517985829201,1279.7056778250062
Slovakia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",704.0151923435336,449.32165902911026,1091.0930496076905
Slovenia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1055.0135932818664,681.33373433885,1594.8449440869265
Sweden,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",313.44022931261105,238.4777672193794,385.3651983465972
Eswatini,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1159.925768773245,609.500105919192,1753.9757339419873
Seychelles,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1943.3924308895835,1343.2291387657094,2757.3725971759804
Syrian Arab Republic,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1038.2388148130926,705.2522601122688,1493.558483484694
Chad,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",220.0108119597179,114.05135548644532,359.8162384863739
Togo,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",613.5293638821103,341.0341127967756,1012.4150458180745
Thailand,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",247.36809315385688,164.30061863184156,356.08148390439794
Tajikistan,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",588.3374444784944,319.7957558761643,983.0579441305073
Tokelau,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",669.860210530209,402.7260112332662,1085.7028584917655
Turkmenistan,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",558.5345661231062,289.14694757761225,974.9251690625158
Timor-Leste,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",498.8356435955351,284.1158092528045,783.6135631144149
Tonga,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",157.70710913972047,106.05554933590315,237.79953848360432
Trinidad and Tobago,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1216.7495916244325,871.9641768042516,1686.1708153544364
Tunisia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1671.7773735646483,863.4916788758039,2930.3009585617547
Turkey,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1055.69431010821,732.8230941726598,1482.0595603828097
Tuvalu,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",639.3145930990878,381.674070992665,967.0167581402909
Taiwan (Province of China),2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",926.830682390028,705.6649589191684,1205.9877846580393
United Republic of Tanzania,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",438.7769907642903,200.49434752679448,651.916769962769
Uganda,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",250.72111752474572,103.86318879880525,397.19825269450314
Ukraine,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",522.2090761497933,311.8929864741755,823.818654919381
Uruguay,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",498.9566669978898,401.59363221785975,616.1968261028974
United States of America,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",669.8245453647374,543.6741724600488,803.4071356386903
Uzbekistan,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",514.1802175263691,290.86914605728066,854.3374893703339
Saint Vincent and the Grenadines,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",2426.489378612739,1671.3427375008148,3315.4000615614095
Venezuela (Bolivarian Republic of),2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",988.7749169569735,480.04186983492974,1894.3329438391374
United States Virgin Islands,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1375.3432884661684,945.5142888160211,2012.563450966095
Viet Nam,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",881.2968892975277,488.4232390356809,1445.3878610523122
Vanuatu,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",446.0409824252272,259.7207232374619,698.9094785364889
Samoa,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",493.28667412854526,300.58974646128627,720.8131639594332
Yemen,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",848.862475640391,430.735064459146,1477.650522778675
South Africa,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1327.2704080470003,1076.0369640258828,1704.1398696931196
Zambia,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",649.151876183534,349.63809743555976,995.4619956797391
Zimbabwe,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",664.9951680889948,420.49185000591575,967.3634015058711
Egypt,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",928.0592045140967,638.1583809613162,1278.1296152550565
Sudan,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",869.5434542469276,464.03817091894354,1462.7378631626764
China,2050,All ages,Both,Hypertensive heart disease,"DALYs per 100,000",1094.8355010749094,698.5370932436779,1655.1335046554855

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2019. Seattle, WA: IHME, University of Washington, 2020. Available from http://vizhub.healthdata.org/gbd-compare. (Accessed 7/9/2025). For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
