Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Germany,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1670.5497579830746,1343.6493370870523,2039.5180057391299
Djibouti,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1006.6220470166508,643.6555058808078,1544.2627702289346
Dominica,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1891.5791257850087,1240.7267561648137,2825.8777203339987
Denmark,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",806.2891500195901,650.9670335446405,980.7638285881579
Dominican Republic,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",3004.234630381789,1894.1677199635933,4583.577975748322
Algeria,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2650.895485020372,1735.631953003942,3974.5165790055876
Ecuador,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1390.512485721364,924.4422277894558,2033.470901282101
Eritrea,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",894.5575358727161,560.2238043169688,1378.1658978896596
Spain,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1042.5280422617711,806.3054780681717,1303.839538742647
Estonia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2010.544638896816,1441.8602874188048,2776.2135760763563
Ethiopia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",378.55830765078963,243.08192753461555,596.5939830021474
Finland,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2099.2742562914505,1584.6856165637448,2617.348952566733
Fiji,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",4137.765100062947,2776.159801897893,5917.040570361891
France,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",995.7169602326414,792.8099442361081,1238.1044703370148
Micronesia (Federated States of),2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",5360.061209470747,3415.209630779639,8142.699639831969
Gabon,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",982.1846435072097,649.2029960871945,1449.496562749941
United Kingdom,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1175.2362726960578,930.3104802590665,1464.7015070486839
Georgia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2655.138415868646,1782.898969873265,3804.8350496344556
Ghana,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",926.1746845272119,616.83831379646,1353.0050968941434
Guinea,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",689.0113075841762,432.4755679307347,1037.9203474696292
Gambia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1017.5076584807077,694.8412240930782,1491.9320527652326
Guinea-Bissau,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1070.5402001077139,690.7310885789753,1667.0731134518037
Equatorial Guinea,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",924.2241573896672,554.9099378161849,1445.865492645538
Greece,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2296.529368911532,1783.866850737556,2946.450471386517
Grenada,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2069.854305032098,1304.2545370858672,3217.3913530404807
Greenland,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1496.409924919523,1104.1578054005001,2035.2423544935975
Guatemala,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1569.9754259005376,1018.4632188298432,2330.039152806502
Guam,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",3482.9398461050537,2519.0940696863536,4952.673521900827
Guyana,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1949.045077514405,1276.1221416300846,2965.864386191878
Honduras,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2111.1626887102157,1304.4154729545194,3278.1212266700463
Croatia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",4097.617123487688,3034.653406154725,5468.00875282943
Haiti,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2845.027494849981,1521.3780124399364,4798.161305202633
Hungary,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",3462.4701451204996,2516.9413333622065,4656.515092555482
Indonesia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2108.4647273830647,1485.1719751008056,2941.061943693034
India,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2456.8233019803292,1415.7471917649304,3939.4605468290074
Ireland,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1095.658028620011,880.9048430531471,1311.4397393339225
Iran (Islamic Republic of),2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2736.5845406088238,1752.2946015372356,4132.779739470441
Iraq,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2507.1015748619634,1577.9708886615783,3834.6564056877155
Iceland,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1141.969278312691,869.9615538294818,1461.9192836041016
Israel,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",591.6594942328285,454.48491515032293,748.4318553773413
Italy,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1726.238270347586,1310.8004243960486,2156.4683736218835
Jamaica,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1550.1421606855663,999.6267362726131,2425.7907063480284
Jordan,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1162.574825912172,750.6361368282319,1721.6559360547594
Japan,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",885.848111298902,672.6110295896708,1146.3775764202583
Kazakhstan,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2902.99512929638,2009.6842395219378,3985.7346968484067
Kenya,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",592.3234840316815,400.45400517368745,846.1420982374615
Kyrgyzstan,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",4215.984527634992,2824.187571511612,6045.243128090787
Cambodia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1423.6529906780258,960.6149320315527,2051.523786042405
Kiribati,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",3379.1847870160636,2203.669597688241,4900.375155190082
Saint Kitts and Nevis,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1886.7853813512213,1175.3226111728688,2872.2870788083014
Republic of Korea,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",885.8711851054813,676.0846536372145,1114.7907774979528
Kuwait,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2386.0501953497555,1580.210644236313,3572.239038612051
Lao People's Democratic Republic,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2005.1609080747007,1344.9685489398412,2903.3091889346124
Lebanon,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2038.1944256883903,1282.8836436028405,3148.600913921264
Liberia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1201.5623092248034,706.8687560412394,1945.6601975824199
Libya,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",4398.517248699342,2602.3669184275873,7172.221918677091
Saint Lucia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1236.886621668995,787.9632287632518,1904.6099111181675
Sri Lanka,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2098.9035431339157,1462.3923111601807,2956.608245303382
Lesotho,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1108.6665679513383,657.2495988903486,1987.573360293187
Lithuania,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",6031.455205989995,4299.916481306627,8571.721336863904
Luxembourg,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",953.9790065829167,785.5782190623344,1224.155228607438
Latvia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",4643.607815192623,3302.4906867194886,6384.018484694752
Morocco,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",5399.887672527109,3300.2653626929455,8476.382868456969
Monaco,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1668.142716630376,1247.8866890242089,2230.859941940926
Republic of Moldova,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",7976.518664547007,4970.061876035728,12651.947875476573
Madagascar,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",938.2260090719292,610.7958112998236,1384.8565532056875
Maldives,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1314.7713183481976,883.6108805135516,1971.4387347912223
Mexico,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2284.1460191635856,1556.935293314266,3203.252767641988
Marshall Islands,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",4915.867231773254,2884.020855011859,7965.478213354802
North Macedonia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",4143.021001015017,2937.401017839818,5408.038107020629
Mali,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",426.25785932436645,267.2616947227852,662.3488252030646
Malta,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1575.9327216439935,1142.9621324499562,2145.5879104638043
Myanmar,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1984.2026207434644,1342.248851043212,2826.1153293425655
Montenegro,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",3956.957620032147,2915.5345026481173,5311.216446566623
Mongolia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2119.0432121649756,1338.5117829663857,3130.8733694409375
Northern Mariana Islands,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",3402.756986965836,2450.430532965961,4682.985361186717
Mozambique,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",307.9988752499795,202.09039872540654,454.36129892881445
Mauritania,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",802.4005152200053,513.4957220861395,1192.275465397173
Mauritius,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2121.1184816441532,1594.840159838391,2785.098826272243
Malawi,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",766.0387209515144,503.53721717674057,1204.5359395406651
Malaysia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1993.8567828241185,1427.5853345513037,2830.023652923165
Namibia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1011.8491404971669,701.2637246806859,1423.9793263049485
Niger,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",513.4096788577651,322.7782305487204,799.6981028482975
Nigeria,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",700.595976601666,475.4460256138084,1031.109826977758
Nicaragua,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1981.557851850005,1269.34288784552,2965.96676414474
Niue,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",4276.835830433279,2964.2288797308447,5921.003983216006
Netherlands,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",910.2765896471956,727.3310124026106,1107.4294498392958
Norway,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",871.6161486612183,728.6840353495647,1030.580079564335
Nepal,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1893.1293098526653,1084.9627357941881,3207.27014412311
Nauru,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",6070.846845959407,3532.337593028415,9844.6277071393
New Zealand,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1320.5448383380262,1013.6953934596793,1686.3675875449585
Oman,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2678.4468180879603,1651.9507168773348,3991.733493415063
Pakistan,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2349.29346071186,1293.1422296242235,3914.4012773045833
Panama,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",960.4961637462418,611.3986372356104,1378.9738479476177
Peru,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",973.8055911052447,654.9949470967599,1398.385631099309
Philippines,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1984.7570521804362,1440.925705453095,2649.9352984874913
Palau,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",5772.816135463582,4168.95434567021,8123.392403898759
Papua New Guinea,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2012.991622423751,1207.8413940046016,3181.2645806987825
Poland,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2996.8433065589506,2214.5318219796704,3922.5498422376854
Puerto Rico,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2135.46125781152,1563.5357578574271,2893.583906355224
Democratic People's Republic of Korea,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",3610.501027210002,2455.7189771516505,5339.867709287894
Portugal,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",993.8979641962508,780.2217575307791,1271.0407010396846
Paraguay,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1635.0763941626024,1038.656596612001,2627.223580587886
Palestine,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2079.4604932609004,1307.0779172977561,3148.0801011465774
Qatar,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1403.4290883301055,945.2390010119785,2063.8140477075995
Romania,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",4039.023341069527,2922.0089712130975,5490.3869657244495
Russian Federation,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",4749.850601859664,3332.865283254606,6322.587293172234
Rwanda,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",483.0072670610113,312.18712622575936,732.4711721088079
Saudi Arabia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",4226.475068214932,2746.9278874056104,6590.793792423699
Senegal,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",780.7850930236192,531.9355485275742,1124.5047071001325
Singapore,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",994.1119058710054,759.2822405471552,1280.2939334681266
Solomon Islands,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",3671.6208794647446,2288.6993749482094,5689.253016392481
Sierra Leone,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",952.9390885185182,613.4625644586332,1478.5324090355814
El Salvador,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2629.24170985485,1708.79634937878,3972.160662948205
San Marino,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1152.2371356594742,801.557912518013,1637.0730379570482
Somalia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",615.2679948281274,269.4512861631078,1405.3109893412773
Serbia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",4141.620675150885,3056.6998727279934,5496.841154441908
South Sudan,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",593.0160122969319,255.80151997354187,1242.6980435585535
Sao Tome and Principe,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1347.3052357158203,941.2564238479115,1921.8747233030092
Suriname,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2058.4159353359414,1250.0443124441472,3157.9690368116703
Slovakia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",4741.415600298715,3551.6408973582998,6353.268084139917
Slovenia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1393.071791253907,997.1155580034417,1844.62164671212
Sweden,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1104.0805657487729,888.3569764884069,1347.3969158574985
Eswatini,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1166.8828744307455,707.6866852805878,1883.3966970805402
Seychelles,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1302.9198276668506,925.1381085743172,1781.2270439186907
Syrian Arab Republic,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",6134.946923939752,3733.64974525148,9610.599812242483
Chad,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",459.3691463409943,277.34215720206146,731.6737261833059
Togo,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",977.4413764146162,614.0951380088683,1523.500576828947
Thailand,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1385.6243069015457,991.6314556161996,1856.4918830837541
Tajikistan,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",3246.2412495291214,2076.0140932061295,4755.611919413446
Tokelau,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",3198.887370919043,2106.095383088265,4661.523837280569
Turkmenistan,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",4404.432318298147,2631.0778507396667,6871.3685091659845
Timor-Leste,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1546.011658314208,998.5311042324654,2373.9316840769957
Tonga,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1728.8635353429806,1172.1726568608713,2460.5776851627484
Trinidad and Tobago,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",3205.34447753607,2124.963698900658,4762.220402016246
Tunisia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",3625.3464289153785,2296.9381274199022,5337.581489490953
Turkey,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2082.7482289745785,1418.2704969787408,3084.1344626910454
Tuvalu,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",4714.666954278134,3140.719732173025,7191.546460378215
Taiwan (Province of China),2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1049.0401984391667,842.7293705990922,1296.2533562146377
United Republic of Tanzania,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",808.6176602977287,557.0226214714444,1176.2215240563419
Uganda,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",397.19847413112586,257.03466348162203,591.9896348206802
Ukraine,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",12465.628448623242,8300.208640368626,17761.76144703731
Uruguay,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1284.12166543759,997.5411488119205,1633.1151765784327
United States of America,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1791.0697218293303,1466.9165159522724,2190.8471690136353
Uzbekistan,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",5521.7181528493775,3618.7615887750276,7993.704359601949
Saint Vincent and the Grenadines,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2242.6282755369784,1405.513040829764,3450.806451259978
Venezuela (Bolivarian Republic of),2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",6819.462742677974,1667.605379704548,18845.34784476778
United States Virgin Islands,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",4322.888125918827,2785.9121459181983,6546.314522978212
Viet Nam,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1378.061727486306,1016.5713284429709,1890.355429563006
Vanuatu,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",4088.6757932998994,2599.336722160758,6099.776857729728
Samoa,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2865.5801645506176,1985.30093986767,4142.297190475173
Yemen,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2863.017093240271,1466.6749203678257,4926.5766425226
South Africa,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1128.409848222723,880.354932888462,1440.5958752536208
Zambia,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",659.5353816583067,413.85093037185504,981.8862783670512
Zimbabwe,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",1176.7447559467562,777.0012968726555,1797.4148034079947
Egypt,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",4101.1598591177635,2700.3802769144677,5933.5442490767655
Sudan,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2978.8728423014827,1648.698381136831,5036.354383186612
China,2050,All ages,Both,Ischemic heart disease,"DALYs per 100,000",2425.7214983072276,1721.4177210865912,3314.687336743674

"Institute for Health Metrics and Evaluation (IHME). GBD Compare Data Visualization. Global Burden of Disease (GBD) Study 2019. Seattle, WA: IHME, University of Washington, 2020. Available from http://vizhub.healthdata.org/gbd-compare. (Accessed 7/9/2025). For terms and conditions of use, please visit http://www.healthdata.org/about/terms-and-conditions"
